year,authors,papers,active
2017,"('heng tao shen', 'lianli gao')",4,24.295698924731184
2017,"('xiaogang wang', 'wanli ouyang')",6,36.447876447876446
2017,"('guanbin li', 'liang lin')",4,24.435294117647057
2017,"('kang liu', 'jun zhao')",4,24.501960784313724
2017,"('takaaki hori', 'shinji watanabe')",4,24.24621212121212
2017,"('zhou zhao', 'yueting zhuang')",6,36.44919786096257
2017,"('hanwang zhang', 'tat-seng chua')",4,24.568627450980394
2017,"('haewoon kwak', 'jisun an')",6,37.5
2017,"('yutaka matsuo', 'edison marrese-taylor')",6,37.09090909090909
2018,"('yujiu yang', 'yi liu')",6,36.75
2018,"('zeyang lei', 'yujiu yang')",5,31.416666666666664
2018,"('deyi xiong', 'jinsong su')",5,30.467391304347828
2018,"('jakob uszkoreit', 'ashish vaswani')",5,30.54093567251462
2018,"('bo xu', 'shuang xu')",6,36.896341463414636
2018,"('shiyu zhou', 'shuang xu')",5,31.339285714285715
2018,"('linhao dong', 'shuang xu')",5,31.339285714285715
2018,"('tianlang chen', 'jiebo luo')",5,30.647058823529413
2018,"('siu cheung hui', 'yi tay')",13,79.23089700996678
2018,"('siu cheung hui', 'luu anh tuan')",7,43.5
2018,"('yi tay', 'luu anh tuan')",7,43.16279069767442
2018,"('anh tuan luu', 'yi tay')",6,36.99667774086379
2018,"('swathikiran sudhakaran', 'oswald lanz')",5,31.0
2018,"('jayaraman j. thiagarajan', 'andreas spanias')",5,31.25
2018,"('jing jiang', 'guodong long')",6,36.369058713886304
2018,"('tianyi zhou', 'jing jiang')",6,36.62370062370062
2018,"('tianyi zhou', 'guodong long')",6,36.668435013262595
2018,"('tianyi zhou', 'tao shen')",6,36.77732793522267
2018,"('jing jiang', 'tao shen')",6,36.477951635846374
2018,"('guodong long', 'tao shen')",6,36.52268602540835
2018,"('chengqi zhang', 'tao shen')",6,36.690789473684205
2018,"('tianyi zhou', 'chengqi zhang')",6,36.83653846153846
2018,"('jing jiang', 'chengqi zhang')",6,36.53716216216216
2018,"('chengqi zhang', 'guodong long')",6,36.581896551724135
2018,"('zhe lin', 'xiaohui shen')",6,37.16666666666667
2018,"('yongdong zhang', 'hongtao xie')",5,30.50574712643678
2018,"('rongwu zhu', 'marco liserre')",5,30.593434343434343
2018,"('bin song', 'jie guo')",5,30.912698412698415
2019,"('min shi', 'jianxun liu')",5,30.90277777777778
2019,"('yan-jie zhou', 'zeng-guang hou')",5,30.9375
2019,"('hao tang', 'yan yan')",5,30.381578947368418
2019,"('hao tang', 'nicu sebe')",5,30.33157894736842
2019,"('dan xu', 'nicu sebe')",5,30.49411764705882
2019,"('hao tang', 'dan xu')",5,30.425696594427244
2019,"('jiajie xu', 'pengpeng zhao')",6,36.92045454545455
2019,"('jing jiang', 'guodong long')",8,48.492078285181734
2019,"('yun xiong', 'yangyong zhu')",5,30.97222222222222
2019,"('ling shao', 'yanwei pang')",6,36.425000000000004
2019,"('chao yang', 'bin jiang')",6,36.915789473684214
2019,"('xipeng qiu', 'zheng zhang')",5,30.386904761904763
2019,"('zhaopeng tu', 'baosong yang')",10,60.79411764705882
2019,"('baosong yang', 'xing wang')",6,36.699999999999996
2019,"('lidia s. chao', 'baosong yang')",7,42.849999999999994
2019,"('lidia s. chao', 'zhaopeng tu')",6,36.60504201680672
2019,"('lidia s. chao', 'derek f. wong')",9,55.24285714285715
2019,"('baosong yang', 'derek f. wong')",7,42.81666666666666
2019,"('zhaopeng tu', 'longyue wang')",8,48.705882352941174
2019,"('baosong yang', 'longyue wang')",6,36.652941176470584
2019,"('robert e. mercer', 'mahtab ahmed')",5,31.25
2019,"('yao-hung hubert tsai', 'ruslan salakhutdinov')",5,30.90277777777778
2019,"('ivan titov', 'rico sennrich')",6,37.17857142857143
2019,"('elaheh barati', 'xuewen chen')",5,32.0
2019,"('wenjun wang', 'fangzhao wu')",5,30.56547619047619
2019,"('wenjun wang', 'hongtao liu')",7,42.96666666666667
2019,"('xianchen wang', 'hongtao liu')",5,31.333333333333332
2019,"('wenjun wang', 'xianchen wang')",5,31.357142857142858
2019,"('chuhan wu', 'fangzhao wu')",8,48.714285714285715
2019,"('chuhan wu', 'xing xie')",7,42.72222222222222
2019,"('chuhan wu', 'yongfeng huang')",7,42.625
2019,"('yongfeng huang', 'fangzhao wu')",6,36.5
2019,"('yongfeng huang', 'xing xie')",5,30.48611111111111
2019,"('zhaopeng tu', 'xing wang')",12,73.15294117647059
2019,"('jie hao', 'xing wang')",6,37.25714285714286
2019,"('jie hao', 'jinfeng zhang')",6,37.60714285714286
2019,"('xing wang', 'jinfeng zhang')",6,37.15
2019,"('zheng zhang', 'qipeng guo')",5,30.892857142857146
2019,"('xipeng qiu', 'qipeng guo')",5,30.922619047619047
2019,"('gui-bin bian', 'zeng-guang hou')",5,30.669642857142854
2019,"('gui-bin bian', 'zhen-liang ni')",5,30.857142857142858
2019,"('zeng-guang hou', 'zhen-liang ni')",5,30.8125
2019,"('xiao-hu zhou', 'zhen-liang ni')",5,30.916666666666668
2019,"('gui-bin bian', 'xiao-hu zhou')",5,30.773809523809526
2019,"('xiao-hu zhou', 'zeng-guang hou')",5,30.729166666666664
2019,"('christian laurano', 'sergio toscani')",6,36.775
2019,"('christian laurano', 'michele zanoni')",6,36.861538461538466
2019,"('sergio toscani', 'michele zanoni')",6,36.83653846153846
2019,"('roberto ottoboni', 'michele zanoni')",5,30.839160839160837
2019,"('christian laurano', 'roberto ottoboni')",5,30.787878787878785
2019,"('roberto ottoboni', 'sergio toscani')",5,30.767045454545453
2019,"('marco faifer', 'roberto ottoboni')",5,30.909090909090907
2019,"('marco faifer', 'michele zanoni')",5,30.839160839160837
2019,"('marco faifer', 'christian laurano')",5,30.787878787878785
2019,"('marco faifer', 'sergio toscani')",5,30.767045454545453
2019,"('shiguang shan', 'xilin chen')",8,48.84444444444444
2019,"('takahiro ogawa', 'miki haseyama')",5,30.666666666666668
2019,"('petros koutras', 'petros maragos')",5,31.25
2019,"('raehyun kim', 'jaewoo kang')",5,31.047619047619047
2019,"('bingpeng ma', 'xilin chen')",5,31.083333333333336
2019,"('hong chang', 'bingpeng ma')",5,31.833333333333336
2019,"('hong chang', 'xilin chen')",5,31.25
2019,"('fangzhao wu', 'xing xie')",9,54.875
2019,"('victor s. sheng', 'pengpeng zhao')",5,30.59027777777778
2019,"('bj', 'rn w. schuller')",9,54.45640074211502
2019,"('yifan gong', 'jinyu li')",5,30.550595238095237
2019,"('rn w. schuller', 'nicholas cummins')",5,30.606060606060606
2019,"('bj', 'nicholas cummins')",5,30.556586270871982
2019,"('jianhua tao', 'jiangyan yi')",5,30.464015151515152
2019,"('ralf schl', 'ter')",7,42.73888888888889
2019,"('ralf schl', 'hermann ney')",7,42.63026819923371
2019,"('hermann ney', 'ter')",7,42.59137931034483
2019,"('albert zeyer', 'hermann ney')",7,42.741379310344826
2019,"('albert zeyer', 'ralf schl')",7,42.888888888888886
2019,"('albert zeyer', 'ter')",7,42.849999999999994
2019,"('kazuki irie', 'albert zeyer')",5,30.669642857142854
2019,"('kazuki irie', 'hermann ney')",5,30.48491379310345
2019,"('kazuki irie', 'ralf schl')",5,30.59027777777778
2019,"('kazuki irie', 'ter')",5,30.5625
2019,"('chlo', ' clavel')",5,31.01010101010101
2019,"('matthias zwicker', 'yu-shen liu')",7,43.11176470588236
2019,"('zhizhong han', 'yu-shen liu')",7,42.8235294117647
2019,"('zhizhong han', 'matthias zwicker')",7,43.11176470588236
2019,"('wenguan wang', 'jianbing shen')",6,36.63076923076923
2019,"('shuming shi', 'xing wang')",6,36.945454545454545
2020,"('zhixin li', 'canlong zhang')",8,48.83422459893048
2020,"('canlong zhang', 'huifang ma')",7,42.78018575851394
2020,"('zhixin li', 'huifang ma')",7,42.686602870813395
2020,"('bj', 'rn w. schuller')",11,66.5578231292517
2020,"('stefano melacci', 'marco gori')",7,43.77777777777778
2020,"('dario zanca', 'stefano melacci')",5,31.428571428571427
2020,"('dario zanca', 'marco gori')",5,31.26984126984127
2020,"('jianliang gao', 'zhao li')",5,30.94017094017094
2020,"('ali aroudi', 'simon doclo')",5,30.954545454545457
2020,"('qiuhui liu', 'deyi xiong')",5,30.717391304347824
2020,"('hongfei xu', 'qiuhui liu')",6,37.14545454545455
2020,"('hongfei xu', 'deyi xiong')",5,30.67193675889328
2020,"('hongfei xu', 'josef van genabith')",5,30.871212121212118
2020,"('qiuhui liu', 'josef van genabith')",5,30.916666666666668
2020,"('deyi xiong', 'josef van genabith')",5,30.634057971014492
2020,"('zhaopeng tu', 'longyue wang')",6,36.529411764705884
2020,"('changmao li', 'jinho d. choi')",6,37.375
2020,"('ming zhou', 'furu wei')",7,42.453441295546554
2020,"('rton szemenyei', 'm')",6,36.92142857142857
2020,"('rton szemenyei', 'yugen yi')",5,31.339285714285715
2020,"('yugen yi', 'm')",5,30.857142857142858
2020,"('yugen yi', 'changlu guo')",5,31.547619047619047
2020,"('rton szemenyei', 'changlu guo')",5,31.458333333333336
2020,"('changlu guo', 'm')",5,30.976190476190478
2020,"('alessandro mingotti', 'lorenzo peretto')",8,49.06666666666667
2020,"('roberto tinarelli', 'lorenzo peretto')",7,42.96666666666667
2020,"('roberto tinarelli', 'alessandro mingotti')",7,42.96666666666667
2020,"('jiaojiao li', 'yunsong li')",7,42.85664335664336
2020,"('jiaojiao li', 'rui song')",6,37.00699300699301
2020,"('rui song', 'yunsong li')",5,30.681818181818183
2020,"('jing jiang', 'guodong long')",6,36.369058713886304
2020,"('guodong long', 'tao shen')",5,30.435571687840287
2020,"('keisuke maeda', 'miki haseyama')",6,36.82857142857143
2020,"('takahiro ogawa', 'miki haseyama')",6,36.800000000000004
2020,"('keisuke maeda', 'takahiro ogawa')",6,36.82857142857143
2020,"('takahiro ogawa', 'yuya moroto')",5,30.833333333333336
2020,"('miki haseyama', 'yuya moroto')",5,30.833333333333336
2020,"('keisuke maeda', 'yuya moroto')",5,30.857142857142858
2020,"('z', 'richard bowden')",6,36.83116883116883
2020,"('necati cihan camg', 'richard bowden')",6,37.09090909090909
2020,"('necati cihan camg', 'z')",6,36.83116883116883
2020,"('xiaojiang peng', 'yu qiao')",7,42.738461538461536
2020,"('hongfei lin', 'liang yang')",5,30.35625
2020,"('sanjiv kumar', 'srinadh bhojanapalli')",6,37.00699300699301
2020,"('sashank j. reddi', 'sanjiv kumar')",6,37.29545454545455
2020,"('sashank j. reddi', 'srinadh bhojanapalli')",5,31.009615384615383
2020,"('ankit singh rawat', 'srinadh bhojanapalli')",6,37.31868131868132
2020,"('ankit singh rawat', 'sanjiv kumar')",6,37.40259740259741
2020,"('ankit singh rawat', 'sashank j. reddi')",5,31.339285714285715
2020,"('chulhee yun', 'ankit singh rawat')",5,31.547619047619047
2020,"('chulhee yun', 'sashank j. reddi')",5,31.458333333333336
2020,"('chulhee yun', 'srinadh bhojanapalli')",5,31.21794871794872
2020,"('chulhee yun', 'sanjiv kumar')",5,31.28787878787879
2020,"('anirudh ravula', 'joshua ainslie')",5,31.26984126984127
2020,"('li dong', 'furu wei')",5,30.409356725146196
2020,"('jingkuan song', 'lianli gao')",5,30.446428571428573
