year,authors,papers,active
2018,"('bo xu', 'shiyu zhou', 'shuang xu')",5,23.12790360046458
2018,"('bo xu', 'linhao dong', 'shuang xu')",5,23.12790360046458
2018,"('siu cheung hui', 'yi tay', 'luu anh tuan')",7,31.996124031007756
2018,"('tianyi zhou', 'jing jiang', 'guodong long')",6,26.830597175424764
2018,"('tianyi zhou', 'jing jiang', 'tao shen')",6,26.939490097384834
2018,"('tianyi zhou', 'guodong long', 'tao shen')",6,26.984224486946815
2018,"('jing jiang', 'guodong long', 'tao shen')",6,26.684848187570513
2018,"('tianyi zhou', 'jing jiang', 'guodong long', 'tao shen')",6,22.146386649108972
2018,"('tianyi zhou', 'chengqi zhang', 'tao shen')",6,27.15232793522268
2018,"('jing jiang', 'chengqi zhang', 'tao shen')",6,26.852951635846374
2018,"('chengqi zhang', 'guodong long', 'tao shen')",6,26.897686025408355
2018,"('tianyi zhou', 'chengqi zhang', 'guodong long')",6,27.043435013262606
2018,"('jing jiang', 'chengqi zhang', 'guodong long')",6,26.744058713886304
2018,"('tianyi zhou', 'chengqi zhang', 'guodong long', 'tao shen')",6,22.35922448694681
2018,"('jing jiang', 'chengqi zhang', 'guodong long', 'tao shen')",6,22.059848187570513
2019,"('hao tang', 'dan xu', 'nicu sebe')",5,22.29236326109391
2019,"('lidia s. chao', 'zhaopeng tu', 'baosong yang')",6,26.90504201680673
2019,"('lidia s. chao', 'baosong yang', 'derek f. wong')",7,31.650000000000006
2019,"('lidia s. chao', 'zhaopeng tu', 'derek f. wong')",6,27.005042016806726
2019,"('zhaopeng tu', 'baosong yang', 'derek f. wong')",6,26.8764705882353
2019,"('lidia s. chao', 'zhaopeng tu', 'baosong yang', 'derek f. wong')",6,22.305042016806723
2019,"('zhaopeng tu', 'baosong yang', 'longyue wang')",6,26.82941176470589
2019,"('wenjun wang', 'fangzhao wu', 'hongtao liu')",5,22.565476190476193
2019,"('wenjun wang', 'xianchen wang', 'hongtao liu')",5,23.357142857142858
2019,"('chuhan wu', 'fangzhao wu', 'xing xie')",7,31.347222222222225
2019,"('chuhan wu', 'yongfeng huang', 'fangzhao wu')",6,26.785714285714292
2019,"('chuhan wu', 'yongfeng huang', 'xing xie')",5,22.39087301587302
2019,"('yongfeng huang', 'fangzhao wu', 'xing xie')",5,22.361111111111114
2019,"('chuhan wu', 'yongfeng huang', 'fangzhao wu', 'xing xie')",5,18.43253968253968
2019,"('zhaopeng tu', 'jie hao', 'xing wang')",6,27.433613445378157
2019,"('jie hao', 'xing wang', 'jinfeng zhang')",6,28.00714285714286
2019,"('zhaopeng tu', 'jie hao', 'jinfeng zhang')",6,27.78361344537816
2019,"('zhaopeng tu', 'xing wang', 'jinfeng zhang')",6,27.326470588235296
2019,"('zhaopeng tu', 'jie hao', 'xing wang', 'jinfeng zhang')",6,23.18361344537815
2019,"('xipeng qiu', 'zheng zhang', 'qipeng guo')",5,22.767857142857146
2019,"('gui-bin bian', 'xiao-hu zhou', 'zhen-liang ni')",5,22.940476190476193
2019,"('gui-bin bian', 'xiao-hu zhou', 'zeng-guang hou')",5,22.752976190476197
2019,"('christian laurano', 'sergio toscani', 'michele zanoni')",6,27.236538461538466
2019,"('christian laurano', 'roberto ottoboni', 'michele zanoni')",5,22.839160839160844
2019,"('roberto ottoboni', 'sergio toscani', 'michele zanoni')",5,22.818327505827508
2019,"('christian laurano', 'roberto ottoboni', 'sergio toscani')",5,22.767045454545457
2019,"('christian laurano', 'roberto ottoboni', 'sergio toscani', 'michele zanoni')",5,18.984994172494172
2019,"('marco faifer', 'roberto ottoboni', 'michele zanoni')",5,22.96037296037296
2019,"('marco faifer', 'christian laurano', 'roberto ottoboni')",5,22.90909090909091
2019,"('marco faifer', 'roberto ottoboni', 'sergio toscani')",5,22.888257575757578
2019,"('marco faifer', 'christian laurano', 'michele zanoni')",5,22.839160839160844
2019,"('marco faifer', 'sergio toscani', 'michele zanoni')",5,22.818327505827508
2019,"('marco faifer', 'christian laurano', 'sergio toscani')",5,22.767045454545457
2019,"('marco faifer', 'christian laurano', 'roberto ottoboni', 'michele zanoni')",5,19.12703962703963
2019,"('marco faifer', 'roberto ottoboni', 'sergio toscani', 'michele zanoni')",5,19.106206293706293
2019,"('marco faifer', 'christian laurano', 'roberto ottoboni', 'sergio toscani')",5,19.054924242424242
2019,"('marco faifer', 'christian laurano', 'sergio toscani', 'michele zanoni')",5,18.984994172494172
2019,"('marco faifer', 'christian laurano', 'roberto ottoboni', 'sergio toscani', 'michele zanoni')",5,16.93953962703963
2019,"('hong chang', 'bingpeng ma', 'xilin chen')",5,23.750000000000004
2019,"('bj', 'rn w. schuller', 'nicholas cummins')",5,22.374768089053806
2019,"('albert zeyer', 'ralf schl', 'hermann ney')",7,31.463601532567054
2019,"('albert zeyer', 'ralf schl', 'ter')",7,31.57222222222223
2019,"('kazuki irie', 'albert zeyer', 'hermann ney')",5,22.508723316912974
2019,"('kazuki irie', 'albert zeyer', 'ralf schl')",5,22.614087301587304
2019,"('kazuki irie', 'albert zeyer', 'ter')",5,22.58630952380953
2019,"('kazuki irie', 'ralf schl', 'hermann ney')",5,22.429358237547895
2019,"('kazuki irie', 'ralf schl', 'ter')",5,22.506944444444446
2019,"('kazuki irie', 'albert zeyer', 'ralf schl', 'hermann ney')",5,18.61983442802408
2019,"('kazuki irie', 'albert zeyer', 'ralf schl', 'ter')",5,18.697420634920633
2019,"('zhizhong han', 'matthias zwicker', 'yu-shen liu')",7,31.856862745098045
2019,"('zhaopeng tu', 'shuming shi', 'xing wang')",6,27.121925133689846
2020,"('zhixin li', 'canlong zhang', 'huifang ma')",7,31.431700910029086
2020,"('dario zanca', 'stefano melacci', 'marco gori')",5,23.650793650793656
2020,"('hongfei xu', 'qiuhui liu', 'deyi xiong')",5,22.83860342555995
2020,"('hongfei xu', 'qiuhui liu', 'josef van genabith')",5,23.037878787878793
2020,"('hongfei xu', 'deyi xiong', 'josef van genabith')",5,22.755270092226617
2020,"('qiuhui liu', 'deyi xiong', 'josef van genabith')",5,22.80072463768116
2020,"('hongfei xu', 'qiuhui liu', 'deyi xiong', 'josef van genabith')",5,19.088603425559945
2020,"('rton szemenyei', 'yugen yi', 'm')",5,23.14880952380953
2020,"('rton szemenyei', 'yugen yi', 'changlu guo')",5,23.839285714285715
2020,"('yugen yi', 'changlu guo', 'm')",5,23.357142857142858
2020,"('rton szemenyei', 'changlu guo', 'm')",5,23.267857142857146
2020,"('rton szemenyei', 'yugen yi', 'changlu guo', 'm')",5,19.81547619047619
2020,"('roberto tinarelli', 'alessandro mingotti', 'lorenzo peretto')",7,31.766666666666673
2020,"('jiaojiao li', 'rui song', 'yunsong li')",5,22.733100233100238
2020,"('jing jiang', 'guodong long', 'tao shen')",5,22.237373489642096
2020,"('keisuke maeda', 'takahiro ogawa', 'miki haseyama')",6,27.228571428571435
2020,"('takahiro ogawa', 'miki haseyama', 'yuya moroto')",5,22.833333333333336
2020,"('keisuke maeda', 'takahiro ogawa', 'yuya moroto')",5,22.85714285714286
2020,"('keisuke maeda', 'miki haseyama', 'yuya moroto')",5,22.85714285714286
2020,"('keisuke maeda', 'takahiro ogawa', 'miki haseyama', 'yuya moroto')",5,19.023809523809522
2020,"('necati cihan camg', 'z', 'richard bowden')",6,27.376623376623378
2020,"('ankit singh rawat', 'sashank j. reddi', 'srinadh bhojanapalli')",5,23.39056776556777
2020,"('ankit singh rawat', 'sashank j. reddi', 'sanjiv kumar')",5,23.46049783549784
2020,"('chulhee yun', 'ankit singh rawat', 'sashank j. reddi')",5,23.839285714285715
2020,"('chulhee yun', 'ankit singh rawat', 'srinadh bhojanapalli')",5,23.598901098901102
2020,"('chulhee yun', 'ankit singh rawat', 'sanjiv kumar')",5,23.66883116883117
2020,"('chulhee yun', 'sashank j. reddi', 'srinadh bhojanapalli')",5,23.509615384615387
2020,"('chulhee yun', 'sashank j. reddi', 'sanjiv kumar')",5,23.57954545454546
2020,"('chulhee yun', 'ankit singh rawat', 'sashank j. reddi', 'srinadh bhojanapalli')",5,20.057234432234434
2020,"('chulhee yun', 'ankit singh rawat', 'sashank j. reddi', 'sanjiv kumar')",5,20.1271645021645
2020,"('gui-bin bian', 'xiao-liang xie', 'zeng-guang hou')",7,32.048611111111114
2020,"('junjun jiang', 'deming zhai', 'xianming liu')",5,23.52380952380953
2020,"('thomas hain', 'yanpei shi', 'qiang huang')",6,27.375000000000007
2020,"('jianhua tao', 'jiangyan yi', 'zhengqi wen')",7,31.482954545454547
2020,"('michael l. seltzer', 'yongqiang wang', 'frank zhang')",5,22.85714285714286
2020,"('sridha sridharan', 'clinton fookes', 'simon denman')",7,31.525283797729625
2020,"('dong yu', 'chao weng', 'heng lu')",5,22.660784313725493
2020,"('chao weng', 'heng lu', 'chengzhu yu')",5,22.960784313725494
2020,"('dong yu', 'chao weng', 'chengzhu yu')",5,22.660784313725493
2020,"('dong yu', 'heng lu', 'chengzhu yu')",5,22.86666666666667
2020,"('dong yu', 'chao weng', 'heng lu', 'chengzhu yu')",5,18.99411764705882
2020,"('chunyang wu', 'yongqiang wang', 'frank zhang')",7,31.708333333333336
2020,"('chunyang wu', 'ching-feng yeh', 'frank zhang')",7,32.05303030303031
2020,"('chunyang wu', 'ching-feng yeh', 'yongqiang wang')",7,31.844696969696972
2020,"('ching-feng yeh', 'yongqiang wang', 'frank zhang')",7,31.76136363636364
2020,"('chunyang wu', 'ching-feng yeh', 'yongqiang wang', 'frank zhang')",7,26.511363636363637
2020,"('chunyang wu', 'ching-feng yeh', 'yangyang shi')",7,32.13636363636364
2020,"('ching-feng yeh', 'yangyang shi', 'frank zhang')",7,32.05303030303031
2020,"('ching-feng yeh', 'yongqiang wang', 'yangyang shi')",7,31.844696969696972
2020,"('chunyang wu', 'yangyang shi', 'frank zhang')",7,32.00000000000001
2020,"('chunyang wu', 'yongqiang wang', 'yangyang shi')",7,31.791666666666668
2020,"('yongqiang wang', 'yangyang shi', 'frank zhang')",7,31.708333333333336
2020,"('chunyang wu', 'ching-feng yeh', 'yangyang shi', 'frank zhang')",7,26.803030303030305
2020,"('chunyang wu', 'ching-feng yeh', 'yongqiang wang', 'yangyang shi')",7,26.59469696969697
2020,"('ching-feng yeh', 'yongqiang wang', 'yangyang shi', 'frank zhang')",7,26.511363636363637
2020,"('chunyang wu', 'yongqiang wang', 'yangyang shi', 'frank zhang')",7,26.458333333333332
2020,"('gui-bin bian', 'xiao-hu zhou', 'xiao-liang xie')",6,27.5952380952381
2020,"('gui-bin bian', 'xiao-hu zhou', 'zeng-guang hou')",6,27.303571428571434
2020,"('xiao-hu zhou', 'xiao-liang xie', 'zeng-guang hou')",6,27.54166666666667
2020,"('gui-bin bian', 'xiao-hu zhou', 'xiao-liang xie', 'zeng-guang hou')",6,22.970238095238095
2021,"('ning cheng', 'jing xiao', 'jianzong wang')",6,27.24903846153847
2021,"('tsubasa hirakawa', 'takayoshi yamashita', 'hironobu fujiyoshi')",5,22.73809523809524
2021,"('fan wang', 'hao li', 'pichao wang')",8,35.92874493927126
2021,"('han hu', 'zheng zhang', 'yue cao')",8,36.50793650793651
2021,"('han hu', 'ze liu', 'yue cao')",7,32.69444444444444
2021,"('han hu', 'zheng zhang', 'ze liu')",7,32.16666666666667
2021,"('zheng zhang', 'ze liu', 'yue cao')",7,32.361111111111114
